close,rsi,ema_fast,ema_slow,momentum,label
73376.01,61.4,73075.38,72927.45,-171.88000000000466,SELL
73043.16,52.85,73146.63,72935.85,-643.9899999999907,BUY
73079.96,55.0,73220.21,72950.8,-210.4699999999866,SELL
71643.69,33.09,73192.72,72931.9,-1783.3499999999913,BUY
71761.35,34.56,73137.92,72912.09,-1614.659999999989,SELL
71593.19,35.63,73056.18,72887.71,-1449.9700000000012,SELL
71466.53,33.65,72878.36,72865.09,-1613.4300000000076,BUY
71710.2,35.19,72669.29,72828.15,66.50999999999476,SELL
71668.01,31.74,72502.73,72793.24,-93.34000000001106,SELL
71665.0,30.57,72292.49,72751.1,71.80999999999767,SELL
71629.21,20.63,72064.41,72702.87,162.68000000000757,SELL
71531.94,16.58,71862.24,72672.67,-178.25999999999476,SELL
71452.89,18.39,71625.3,72634.67,-215.11999999999534,BUY
71468.55,14.85,71613.03,72582.33,-196.4499999999971,SELL
71084.01,13.26,71556.54,72501.39,-545.2000000000116,SELL
70889.42,13.88,71511.65,72405.33,-642.5200000000041,SELL
70748.34,12.22,71475.53,72262.47,-704.5500000000029,BUY
70892.03,29.04,71400.76,72104.5,-576.5200000000041,BUY
70936.27,26.01,71327.16,71972.2,-147.7399999999907,BUY
71140.51,37.11,71257.21,71827.33,251.0899999999965,SELL
71137.64,39.92,71185.14,71678.78,389.3000000000029,SELL
71084.18,28.29,71118.56,71548.29,192.14999999999418,BUY
71335.43,39.93,71072.5,71414.97,399.15999999998894,BUY
71364.02,41.02,71019.92,71394.51,223.5100000000093,SELL
70912.73,32.87,71002.51,71350.09,-224.9100000000035,SELL
70740.98,31.74,71007.24,71312.27,-343.1999999999971,BUY
71172.62,44.44,71062.14,71295.41,-162.80999999999767,BUY
71197.64,44.64,71099.76,71258.15,-166.38000000000466,SELL
71073.14,49.76,71126.86,71218.76,160.4100000000035,SELL
70976.0,51.99,71115.77,71174.68,235.02000000000407,SELL
70890.3,53.36,71098.94,71128.71,-282.31999999999243,SELL
70878.82,49.67,71088.83,71088.0,-318.81999999999243,BUY
71017.66,51.96,71041.52,71055.67,-55.479999999995925,SELL
70813.88,42.14,70971.89,71014.39,-162.11999999999534,SELL
70680.7,39.65,70965.46,70998.94,-209.60000000000582,BUY
70792.88,43.57,70994.84,71002.06,-85.94000000000233,SELL
70755.88,35.88,70949.91,71015.99,-261.77999999999884,BUY
70929.68,40.12,70905.35,71023.78,115.79999999998836,BUY
71074.91,54.29,70885.73,71032.52,394.2100000000064,BUY
71662.65,69.97,70914.72,71041.82,869.7699999999895,BUY
72400.15,73.49,71004.66,71073.22,1644.2699999999895,SELL
71866.59,60.71,71076.42,71095.3,936.9100000000035,BUY
72202.36,66.94,71151.65,71107.44,1127.449999999997,SELL
72148.87,67.83,71268.33,71116.31,486.22000000000116,BUY
72424.86,72.05,71437.98,71171.12,24.710000000006403,BUY
73322.82,77.99,71659.7,71269.18,1456.2300000000105,SELL
73149.36,74.22,71903.95,71331.67,947.0,BUY
73179.71,77.98,72148.21,71396.34,1030.840000000011,BUY
74627.04,85.61,72479.2,71516.77,2202.179999999993,SELL
74417.99,82.15,72734.06,71645.73,1095.1699999999983,SELL
74163.82,79.1,72875.02,71781.4,1014.4600000000064,BUY
74386.02,79.27,73138.82,71931.79,1206.3099999999977,SELL
74330.98,78.0,73371.64,72077.19,-296.0599999999977,BUY
74444.43,76.05,73647.72,72250.65,26.439999999987776,SELL
74387.85,71.33,73904.64,72442.9,224.02999999999884,SELL
74210.11,77.23,74024.19,72631.08,-175.9100000000035,BUY
74522.73,77.11,74206.2,72841.56,191.75,BUY
74546.0,78.21,74405.63,73049.66,101.57000000000698,BUY
74750.0,77.83,74386.7,73262.86,362.1499999999942,SELL
74500.0,66.68,74387.76,73431.54,289.8899999999994,SELL
74350.01,67.12,74424.81,73543.77,-172.72000000000116,BUY
74376.52,67.09,74428.82,73707.13,-169.47999999999593,BUY
74452.0,45.89,74447.3,73853.63,-298.0,BUY
75525.94,68.5,74510.01,74043.61,1025.9400000000023,SELL
75013.62,63.06,74560.46,74206.09,663.6100000000006,BUY
75317.07,63.96,74665.47,74311.61,940.5500000000029,SELL
74652.2,54.07,74689.71,74417.96,200.1999999999971,BUY
74748.9,53.88,74718.3,74530.34,-777.0400000000081,SELL
74093.19,46.75,74676.69,74509.65,-920.429999999993,BUY
74223.18,50.15,74681.49,74508.96,-1093.890000000014,SELL
